Size    LDA    Align.    Time(s)    GFlops    Residual    Residual(norm)    Check
6000    6000    4    2.487    57.9286    3.322287e-11    3.221906e-02    pass
6000    6000    4    2.485    57.9714    3.322287e-11    3.221906e-02    pass
6000    6000    4    2.493    57.7847    3.322287e-11    3.221906e-02    pass
6000    6000    4    2.479    58.1211    3.322287e-11    3.221906e-02    pass
6000    6000    4    2.481    58.0750    3.322287e-11    3.221906e-02    pass
6000    6000    4    2.477    58.1554    3.322287e-11    3.221906e-02    pass
6000    6000    4    2.482    58.0511    3.322287e-11    3.221906e-02    pass
6000    6000    4    2.483    58.0331    3.322287e-11    3.221906e-02    pass
6000    6000    4    2.486    57.9510    3.322287e-11    3.221906e-02    pass
6000    6000    4    2.483    58.0333    3.322287e-11    3.221906e-02    pass
6000    6000    4    2.487    57.9188    3.322287e-11    3.221906e-02    pass
6000    6000    4    2.477    58.1636    3.322287e-11    3.221906e-02    pass
6000    6000    4    2.480    58.1028    3.322287e-11    3.221906e-02    pass
6000    6000    4    2.485    57.9724    3.322287e-11    3.221906e-02    pass
6000    6000    4    2.482    58.0416    3.322287e-11    3.221906e-02    pass

