Size    LDA    Align.    Time(s)    GFlops    Residual    Residual(norm)    Check
6000    6000    4    2.571    56.0383    3.322287e-11    3.221906e-02    pass
6000    6000    4    2.653    54.3130    3.322287e-11    3.221906e-02    pass
6000    6000    4    2.554    56.4000    3.322287e-11    3.221906e-02    pass
6000    6000    4    2.479    58.1238    3.322287e-11    3.221906e-02    pass
6000    6000    4    2.613    55.1423    3.322287e-11    3.221906e-02    pass
6000    6000    4    2.794    51.5702    3.322287e-11    3.221906e-02    pass
6000    6000    4    2.530    56.9478    3.322287e-11    3.221906e-02    pass
6000    6000    4    2.493    57.7907    3.322287e-11    3.221906e-02    pass
6000    6000    4    2.800    51.4483    3.322287e-11    3.221906e-02    pass
6000    6000    4    2.511    57.3747    3.322287e-11    3.221906e-02    pass
6000    6000    4    2.581    55.8223    3.322287e-11    3.221906e-02    pass
6000    6000    4    2.497    57.7042    3.322287e-11    3.221906e-02    pass
6000    6000    4    2.471    58.3073    3.322287e-11    3.221906e-02    pass
6000    6000    4    2.475    58.2219    3.322287e-11    3.221906e-02    pass
6000    6000    4    2.696    53.4313    3.322287e-11    3.221906e-02    pass

