Size    LDA    Align.    Time(s)    GFlops    Residual    Residual(norm)    Check
6000    6000    4    2.489    57.8791    3.322287e-11    3.221906e-02    pass
6000    6000    4    2.476    58.1954    3.322287e-11    3.221906e-02    pass
6000    6000    4    2.482    58.0491    3.322287e-11    3.221906e-02    pass
6000    6000    4    2.492    57.8176    3.322287e-11    3.221906e-02    pass
6000    6000    4    2.485    57.9861    3.322287e-11    3.221906e-02    pass
6000    6000    4    2.486    57.9423    3.322287e-11    3.221906e-02    pass
6000    6000    4    2.481    58.0719    3.322287e-11    3.221906e-02    pass
6000    6000    4    2.483    58.0272    3.322287e-11    3.221906e-02    pass
6000    6000    4    2.484    57.9991    3.322287e-11    3.221906e-02    pass
6000    6000    4    2.477    58.1629    3.322287e-11    3.221906e-02    pass
6000    6000    4    2.482    58.0481    3.322287e-11    3.221906e-02    pass
6000    6000    4    2.473    58.2597    3.322287e-11    3.221906e-02    pass
6000    6000    4    2.477    58.1586    3.322287e-11    3.221906e-02    pass
6000    6000    4    2.475    58.2138    3.322287e-11    3.221906e-02    pass
6000    6000    4    2.481    58.0688    3.322287e-11    3.221906e-02    pass

