Size    LDA    Align.    Time(s)    GFlops    Residual    Residual(norm)    Check
6000    6000    4    2.479    58.1112    3.322287e-11    3.221906e-02    pass
6000    6000    4    2.478    58.1385    3.322287e-11    3.221906e-02    pass
6000    6000    4    2.473    58.2472    3.322287e-11    3.221906e-02    pass
6000    6000    4    2.473    58.2570    3.322287e-11    3.221906e-02    pass
6000    6000    4    2.475    58.2022    3.322287e-11    3.221906e-02    pass
6000    6000    4    2.471    58.2993    3.322287e-11    3.221906e-02    pass
6000    6000    4    2.483    58.0277    3.322287e-11    3.221906e-02    pass
6000    6000    4    2.468    58.3753    3.322287e-11    3.221906e-02    pass
6000    6000    4    2.474    58.2271    3.322287e-11    3.221906e-02    pass
6000    6000    4    2.474    58.2297    3.322287e-11    3.221906e-02    pass
6000    6000    4    2.485    57.9727    3.322287e-11    3.221906e-02    pass
6000    6000    4    2.478    58.1496    3.322287e-11    3.221906e-02    pass
6000    6000    4    2.480    58.0937    3.322287e-11    3.221906e-02    pass
6000    6000    4    2.479    58.1210    3.322287e-11    3.221906e-02    pass
6000    6000    4    2.469    58.3482    3.322287e-11    3.221906e-02    pass

